"question_date","num_questions_with_en_response"
"2018-08-14","21635"
"2018-08-15","28563"
"2018-08-16","25795"
"2018-08-17","22891"
"2018-08-18","16378"
"2018-08-19","16058"
"2018-08-20","30493"
"2018-08-21","26292"
"2018-08-22","30131"
"2018-08-23","31092"
"2018-08-24","50660"
"2018-08-25","42319"
"2018-08-26","31026"
"2018-08-27","23844"
"2018-08-28","22711"
"2018-08-29","29479"
"2018-08-30","29070"
"2018-08-31","20868"
"2018-09-01","15780"
"2018-09-02","12291"
"2018-09-03","11485"
"2018-09-04","13079"
"2018-09-05","12434"
"2018-09-06","15793"
"2018-09-07","17649"
"2018-09-08","13254"
"2018-09-09","10795"
"2018-09-10","17526"
"2018-09-11","41095"
"2018-09-12","49348"
"2018-09-13","39133"
"2018-09-14","34549"
"2018-09-15","24146"
"2018-09-16","20870"
"2018-09-17","30882"
"2018-09-18","28505"
"2018-09-19","36201"
"2018-09-20","28706"
"2018-09-21","35099"
"2018-09-22","24668"
"2018-09-23","20161"
"2018-09-24","34034"
"2018-09-25","25388"
"2018-09-26","30578"
"2018-09-27","30326"
"2018-09-28","21438"
"2018-09-29","15294"
"2018-09-30","12979"
"2018-10-01","26750"
"2018-10-02","29266"
"2018-10-03","28436"
"2018-10-04","24088"
"2018-10-05","16818"
"2018-10-06","14265"
"2018-10-07","12987"
"2018-10-08","13126"
"2018-10-09","13837"
"2018-10-10","14017"
"2018-10-11","12457"
"2018-10-12","11805"
"2018-10-13","8792"
"2018-10-14","8174"
"2018-10-15","8929"
"2018-10-16","13864"
"2018-10-17","47403"
"2018-10-18","53220"
"2018-10-19","30380"
"2018-10-20","18000"
"2018-10-21","15279"
"2018-10-22","24981"
"2018-10-23","32255"
"2018-10-24","22351"
"2018-10-25","28778"
"2018-10-26","31202"
"2018-10-27","19444"
"2018-10-28","15846"
"2018-10-29","30211"
"2018-10-30","30405"
"2018-10-31","32435"
"2018-11-01","28508"
"2018-11-02","47178"
"2018-11-03","32945"
"2018-11-04","22564"
"2018-11-05","28327"
"2018-11-06","47201"
"2018-11-07","30713"
"2018-11-08","39090"
"2018-11-09","26470"
"2018-11-10","20725"
"2018-11-11","16322"
"2018-11-12","34241"
"2018-11-13","28328"
"2018-11-14","30742"
"2018-11-15","30072"
"2018-11-16","52684"
"2018-11-17","29202"
"2018-11-18","21596"
"2018-11-19","24233"
"2018-11-20","24968"
"2018-11-21","57587"
"2018-11-22","45898"
"2018-11-23","39528"
"2018-11-24","28542"
"2018-11-25","22406"
"2018-11-26","48896"
"2018-11-27","55262"
"2018-11-28","51083"
"2018-11-29","46548"
"2018-11-30","36525"
"2018-12-01","67024"
"2018-12-02","51246"
"2018-12-03","48753"
"2018-12-04","73595"
"2018-12-05","45294"
"2018-12-06","53159"
"2018-12-07","39717"
"2018-12-08","25356"
"2018-12-09","22984"
"2018-12-10","50492"
"2018-12-11","44605"
"2018-12-12","35001"
"2018-12-13","30781"
"2018-12-14","48772"
"2018-12-15","50483"
"2018-12-16","34466"
"2018-12-17","33968"
"2018-12-18","24491"
"2018-12-19","19618"
"2018-12-20","16589"
"2018-12-21","11153"
"2018-12-22","6703"
"2018-12-23","6632"
"2018-12-24","4880"
"2018-12-25","4338"
"2018-12-26","4669"
"2018-12-27","5223"
"2018-12-28","6159"
"2018-12-29","4747"
"2018-12-30","4940"
"2018-12-31","4178"
"2019-01-01","3512"
"2019-01-02","4440"
"2019-01-03","3723"
"2019-01-04","4580"
"2019-01-05","4175"
"2019-01-06","3902"
"2019-01-07","4632"
"2019-01-08","4723"
"2019-01-09","7385"
"2019-01-10","7470"
"2019-01-11","5868"
"2019-01-12","5214"
"2019-01-13","4461"
"2019-01-14","4264"
"2019-01-15","4310"
"2019-01-16","4675"
"2019-01-17","5566"
"2019-01-18","5602"
"2019-01-19","4183"
"2019-01-20","4029"
"2019-01-21","3959"
"2019-01-22","6530"
"2019-01-23","12771"
"2019-01-24","12393"
"2019-01-25","9233"
"2019-01-26","8063"
"2019-01-27","7707"
"2019-01-28","10194"
"2019-01-29","33381"
"2019-01-30","35338"
"2019-01-31","39956"
"2019-02-01","12424"
"2019-02-02","8374"
"2019-02-03","6975"
"2019-02-04","5753"
"2019-02-05","25319"
"2019-02-06","30787"
"2019-02-07","11155"
"2019-02-08","8884"
"2019-02-09","6681"
