"question_date","num_questions_with_en_response"
"2021-01-21","6460"
"2021-01-22","5147"
"2021-01-23","4658"
"2021-01-24","4824"
"2021-01-25","4310"
"2021-01-26","4237"
"2021-01-27","4625"
"2021-01-28","15291"
"2021-01-29","8784"
"2021-01-30","5645"
"2021-01-31","5351"
"2021-02-01","4540"
"2021-02-02","4069"
"2021-02-03","3117"
"2021-02-04","5561"
"2021-02-05","4632"
"2021-02-06","3923"
"2021-02-07","3811"
"2021-02-08","4004"
"2021-02-09","4470"
"2021-02-10","3654"
"2021-02-11","4846"
"2021-02-12","4152"
"2021-02-13","3726"
"2021-02-14","3614"
"2021-02-15","3454"
"2021-02-16","4627"
"2021-02-17","4587"
"2021-02-18","4464"
"2021-02-19","4285"
"2021-02-20","3967"
"2021-02-21","4114"
"2021-02-22","4731"
"2021-02-23","5705"
"2021-02-24","4983"
"2021-02-25","4761"
"2021-02-26","4319"
"2021-02-27","4501"
"2021-02-28","4192"
"2021-03-01","3520"
"2021-03-02","3697"
"2021-03-03","2909"
"2021-03-04","3297"
"2021-03-05","3496"
"2021-03-06","3053"
"2021-03-07","3456"
"2021-03-08","3358"
"2021-03-09","3213"
"2021-03-10","2421"
"2021-03-11","2193"
"2021-03-12","4062"
"2021-03-13","3379"
"2021-03-14","3118"
"2021-03-15","3734"
"2021-03-16","3495"
"2021-03-17","6159"
"2021-03-18","4328"
"2021-03-19","3360"
"2021-03-20","3296"
"2021-03-21","4010"
"2021-03-22","4335"
"2021-03-23","3840"
"2021-03-24","3788"
"2021-03-25","5300"
"2021-03-26","2502"
"2021-03-27","1803"
"2021-03-28","2347"
"2021-03-29","2165"
"2021-03-30","4321"
"2021-03-31","3509"
"2021-04-01","2561"
"2021-04-02","2389"
"2021-04-03","1959"
"2021-04-04","2105"
"2021-04-05","2799"
"2021-04-06","3225"
"2021-04-07","4934"
"2021-04-08","4588"
"2021-04-09","2932"
"2021-04-10","2056"
"2021-04-11","1995"
"2021-04-12","2554"
"2021-04-13","2794"
"2021-04-14","2394"
"2021-04-15","5264"
"2021-04-16","3605"
"2021-04-17","2862"
"2021-04-18","2485"
"2021-04-19","2796"
"2021-04-20","3391"
"2021-04-21","3067"
"2021-04-22","8841"
"2021-04-23","8936"
"2021-04-24","5390"
"2021-04-25","4561"
"2021-04-26","3597"
"2021-04-27","3287"
"2021-04-28","3144"
"2021-04-29","1027"
